wiI7pd,bulan_tahun,label_nbc_fasttext
Enak banget jernih dan pas lagi sepi,February 2025,positif
Tempat berenang yang jernih alami airnya juga segar,February 2025,positif
Pemandangan cantik dan sumber yang jernih,January 2025,positif
Tempat sumber air yang jernih dan bisa buat berenang. Mantap,January 2025,positif
tiket dan makanan murah. petugasnya rendah hati.,January 2025,netral
"Sejuk, nyaman buat outbound",January 2025,positif
Souweger jika,January 2025,positif
"Airnya bening, ada ikan kecil2. Rute mengikuti google gak bikin bingung kok. Mantaap👍🏻 Ada kolam anak juga. Harga tiket masuk murah 👍🏻",January 2025,positif
Penanganan tergadap pengunjung yang mengalamai kecelakaan di area sumber sira sangat tanggap 🫡 …,January 2025,negatif
"Overrated! Kamar mandi, kamar ganti minim dan kotor. Kolamnya banyak lumut, tepian kolam curam jadi agak sulit saat mau nyebur seharusnya dibenerin dibuat lebih landai dan panjang.",January 2025,negatif
"Masih asri banget tempatnya. Cuma kurang bersih ajaa kolam yang banyak tanamannya, semoga kebersihan tempat lebih ditingkatkan ya. Apalagi kamar mandinya. Untuk petugas ramah pwoll apalagi yang dibagian keretaa baik banget masnya nawarin ngefoto sama divideoin jgaa. jadi punya kenangan sama keluarga❤️",January 2025,positif
bagus,January 2025,positif
"masih butuh dikembangkan..,",January 2025,netral
"Tempat yang nyaman untuk wisata keluarga , sumber air sangat jernih",January 2025,positif
Adem tp gak dingin banget.,January 2025,netral
"Wisata alam murah meriah
Jalan masuk dari parkiran agak jauh, jalannya turun banget menuju area sumber, pas baliknya capek naik 😄 …",January 2025,negatif
Seru sih...tapi tlng untuk toilet nya di tambahin....🙏🙏🙏 Kita kurang nyaman di toiletnya....antri luama...kasihan anak kecil...jg org tua 🙏 …,January 2025,positif
Salam,January 2025,netral
"Bagus untuk melepas lelah, masih terjangkau untuk wahananya",January 2025,positif
Tempat nyaman kalo sepi hehe,January 2025,positif
"Anak2 senang bermain disini, semoga pengelolaannya kedepannya menjadi lebih baik sehingga terlihat lebih bersih, wisata murah meriah ada permainan kereta sawah, flying fox dan atv",January 2025,positif
Seruuuu... Enak kalo datang pagi belum terlalu ramai. Seger banget dan murcee... Muraahhh bingit,January 2025,positif
"Tempatnya Baguuuss... Cocok Buat Yg Mau Berendam .... Toiletnya n Kamar Mandi nya Okee ... Tiket Masuknya Murah Hanya 5rb ... Ada 14 Warung Yang bisa Buat Kopi, Mie Rebus, Soto Dll .... Rrreeekkooommeeennnnddeeeddd",January 2025,positif
makan mie kudanan,January 2025,netral
tempat bagus dan nyaman,January 2025,positif
Airnya sejuk dan menyegarkan....👍👍🙏 …,January 2025,netral
