wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
Enak banget jernih dan pas lagi sepi,enak banget jernih dan pas lagi sepi,enak sangat jernih dan saat lagi sepi,"['enak', 'sangat', 'jernih', 'dan', 'saat', 'lagi', 'sepi']","['enak', 'jernih', 'sepi']",enak jernih sepi,very clear and when it's quiet
Tempat berenang yang jernih alami airnya juga segar,tempat berenang yang jernih alami airnya juga segar,tempat berenang yang jernih alami airnya juga segar,"['tempat', 'berenang', 'yang', 'jernih', 'alami', 'airnya', 'juga', 'segar']","['berenang', 'jernih', 'alami', 'airnya', 'segar']",renang jernih alami air segar,a clear natural swimming place for the water is also fresh
Pemandangan cantik dan sumber yang jernih,pemandangan cantik dan sumber yang jernih,pemandangan cantik dan sumber yang jernih,"['pemandangan', 'cantik', 'dan', 'sumber', 'yang', 'jernih']","['pemandangan', 'cantik', 'sumber', 'jernih']",pandang cantik sumber jernih,beautiful views and clear sources
Tempat sumber air yang jernih dan bisa buat berenang. Mantap,tempat sumber air yang jernih dan bisa buat berenang mantap,tempat sumber air yang jernih dan bisa untuk berenang mantap,"['tempat', 'sumber', 'air', 'yang', 'jernih', 'dan', 'bisa', 'untuk', 'berenang', 'mantap']","['sumber', 'air', 'jernih', 'berenang', 'mantap']",sumber air jernih renang mantap,a clear water source and can be for steady swimming
tiket dan makanan murah. petugasnya rendah hati.,tiket dan makanan murah petugasnya rendah hati,tiket dan makanan murah petugasnya rendah hati,"['tiket', 'dan', 'makanan', 'murah', 'petugasnya', 'rendah', 'hati']","['tiket', 'makanan', 'murah', 'petugasnya', 'rendah', 'hati']",tiket makan murah tugas rendah hati,cheap tickets and foods the officers are humble
"Sejuk, nyaman buat outbound",sejuk nyaman buat outbound,sejuk nyaman untuk outbound,"['sejuk', 'nyaman', 'untuk', 'outbound']","['sejuk', 'nyaman', 'outbound']",sejuk nyaman outbound,Cold comfortable for outbound
Souweger jika,souweger jika,segar jika,"['segar', 'jika']",['segar'],segar,fresh if
"Airnya bening, ada ikan kecil2. Rute mengikuti google gak bikin bingung kok. Mantaap👍🏻 Ada kolam anak juga. Harga tiket masuk murah 👍🏻",airnya bening ada ikan kecil rute mengikuti google gak bikin bingung kok mantaap ada kolam anak juga harga tiket masuk murah,airnya bening ada ikan kecil rute mengikuti google tidak bikin bingung mantap ada kolam anak juga harga tiket masuk murah,"['airnya', 'bening', 'ada', 'ikan', 'kecil', 'rute', 'mengikuti', 'google', 'tidak', 'bikin', 'bingung', 'mantap', 'ada', 'kolam', 'anak', 'juga', 'harga', 'tiket', 'masuk', 'murah']","['airnya', 'bening', 'ikan', 'rute', 'mengikuti', 'google', 'bikin', 'bingung', 'mantap', 'kolam', 'anak', 'harga', 'tiket', 'masuk', 'murah']",air bening ikan rute ikut google bikin bingung mantap kolam anak harga tiket masuk murah,The water is clear there is a small fish route following Google does not make a solid confused there is a child pool as well as cheap admission price
Penanganan tergadap pengunjung yang mengalamai kecelakaan di area sumber sira sangat tanggap 🫡 …,penanganan tergadap pengunjung yang mengalamai kecelakaan di area sumber sira sangat tanggap,penanganan terhadap pengunjung yang mengalami kecelakaan area sumber sira sangat tanggap,"['penanganan', 'terhadap', 'pengunjung', 'yang', 'mengalami', 'kecelakaan', 'area', 'sumber', 'sira', 'sangat', 'tanggap']","['penanganan', 'pengunjung', 'mengalami', 'kecelakaan', 'area', 'sumber', 'sira', 'tanggap']",tangan unjung alami celaka area sumber sira tanggap,Handling of visitors who have an accident area of ​​Sumber Sira are very responsive
"Overrated! Kamar mandi, kamar ganti minim dan kotor. Kolamnya banyak lumut, tepian kolam curam jadi agak sulit saat mau nyebur seharusnya dibenerin dibuat lebih landai dan panjang.",overrated kamar mandi kamar ganti minim dan kotor kolamnya banyak lumut tepian kolam curam jadi agak sulit saat mau nyebur seharusnya dibenerin dibuat lebih landai dan panjang,overrated kamar mandi kamar ganti minimal dan kotor kolamnya banyak lumut tepian kolam curam jadi agak sulit saat mau nyebur seharusnya dibenerin dibuat lebih landai dan panjang,"['overrated', 'kamar', 'mandi', 'kamar', 'ganti', 'minimal', 'dan', 'kotor', 'kolamnya', 'banyak', 'lumut', 'tepian', 'kolam', 'curam', 'jadi', 'agak', 'sulit', 'saat', 'mau', 'nyebur', 'seharusnya', 'dibenerin', 'dibuat', 'lebih', 'landai', 'dan', 'panjang']","['overrated', 'kamar', 'mandi', 'kamar', 'ganti', 'minimal', 'kotor', 'kolamnya', 'lumut', 'tepian', 'kolam', 'curam', 'sulit', 'nyebur', 'dibenerin', 'landai']",overrated kamar mandi kamar ganti minimal kotor kolam lumut tepi kolam curam sulit nyebur dibenerin landai,Overented bathroom changing room minimal and dirty pool lots of tepad pool lumps so it is rather difficult when you want to splash it should be generated more gentle and longer
