wiI7pd,d4r55,rsqaWe,bulan_tahun
Enak banget jernih dan pas lagi sepi,Rahma Aaa,2 hari lalu,February 2025
Tempat berenang yang jernih alami airnya juga segar,Eka Pratomo,5 hari lalu,February 2025
Pemandangan cantik dan sumber yang jernih,Torek Iyho,2 minggu lalu,January 2025
Tempat sumber air yang jernih dan bisa buat berenang. Mantap,Dwi Prof,2 minggu lalu,January 2025
tiket dan makanan murah. petugasnya rendah hati.,Wawan Sobari,2 minggu lalu,January 2025
"Sejuk, nyaman buat outbound",Deny Triana,3 minggu lalu,January 2025
Souweger jika,Ampuh Studio,3 minggu lalu,January 2025
"Airnya bening, ada ikan kecil2. Rute mengikuti google gak bikin bingung kok. Mantaap👍🏻 Ada kolam anak juga. Harga tiket masuk murah 👍🏻",yohanna ipe,3 minggu lalu,January 2025
Penanganan tergadap pengunjung yang mengalamai kecelakaan di area sumber sira sangat tanggap 🫡 …,fino pudge,3 minggu lalu,January 2025
"Overrated! Kamar mandi, kamar ganti minim dan kotor. Kolamnya banyak lumut, tepian kolam curam jadi agak sulit saat mau nyebur seharusnya dibenerin dibuat lebih landai dan panjang.",Ilmyra Riyadhie,4 minggu lalu,January 2025
"Masih asri banget tempatnya. Cuma kurang bersih ajaa kolam yang banyak tanamannya, semoga kebersihan tempat lebih ditingkatkan ya. Apalagi kamar mandinya. Untuk petugas ramah pwoll apalagi yang dibagian keretaa baik banget masnya nawarin ngefoto sama divideoin jgaa. jadi punya kenangan sama keluarga❤️",Anggraeni NL,4 minggu lalu,January 2025
bagus,Muhammad Rifky Febriansyah,sebulan lalu,January 2025
"masih butuh dikembangkan..,",agus,sebulan lalu,January 2025
"Tempat yang nyaman untuk wisata keluarga , sumber air sangat jernih",inka hilmayanti,sebulan lalu,January 2025
Adem tp gak dingin banget.,Z_ Syaif,sebulan lalu,January 2025
"Wisata alam murah meriah
Jalan masuk dari parkiran agak jauh, jalannya turun banget menuju area sumber, pas baliknya capek naik 😄 …",Ibu 4 anak,sebulan lalu,January 2025
Seru sih...tapi tlng untuk toilet nya di tambahin....🙏🙏🙏 Kita kurang nyaman di toiletnya....antri luama...kasihan anak kecil...jg org tua 🙏 …,Bimo Lintar,sebulan lalu,January 2025
Salam,Bring me to Jannah,sebulan lalu,January 2025
"Bagus untuk melepas lelah, masih terjangkau untuk wahananya",UDAH CHANNEL,sebulan lalu,January 2025
Tempat nyaman kalo sepi hehe,Humaida Tsabita,sebulan lalu,January 2025
"Anak2 senang bermain disini, semoga pengelolaannya kedepannya menjadi lebih baik sehingga terlihat lebih bersih, wisata murah meriah ada permainan kereta sawah, flying fox dan atv",Una Dieni,sebulan lalu,January 2025
Seruuuu... Enak kalo datang pagi belum terlalu ramai. Seger banget dan murcee... Muraahhh bingit,Anis Eka,sebulan lalu,January 2025
"Tempatnya Baguuuss... Cocok Buat Yg Mau Berendam .... Toiletnya n Kamar Mandi nya Okee ... Tiket Masuknya Murah Hanya 5rb ... Ada 14 Warung Yang bisa Buat Kopi, Mie Rebus, Soto Dll .... Rrreeekkooommeeennnnddeeeddd",widi satrio,sebulan lalu,January 2025
makan mie kudanan,Muntas Ali,sebulan lalu,January 2025
tempat bagus dan nyaman,raden pradipta,sebulan lalu,January 2025
Airnya sejuk dan menyegarkan....👍👍🙏 …,cahyo purwoko,sebulan lalu,January 2025
"Asik, asyik buat nongkrong. Direkomendasikan kalau cuaca sedang panas dan matahari sedang menyegarkan untuk mandi, tak kalah menariknya naik kereta dengan bebek yang sejuk juga menyenangkan.",Fahrul Hardian,sebulan lalu,January 2025
"Destinasi wisata murah meriah...
1. Parkir Mobil 10.000 sepeda motor 3.000
2. Ticket 5.000 …",andik atmaja,2 bulan lalu,December 2024
"Setelah dipegang sendiri oleh Desa Putukrejo dan memajukan wisatanya, dari info yang saya dapat dan cek sendiri tempatnya banyak wahana baru selain ban² an, ada juga kereta melayang yg ada relnya, selain itu ada perahu gowes berupa bebek …",Orotnafilk,2 bulan lalu,December 2024
Asri,AHMAD Al MU'TADDI BILLAH,2 bulan lalu,December 2024
"Bagus sekali, airnya jernih kelihatan cantik",Lian Sugiarsih,2 bulan lalu,December 2024
Sangat memuaskan,RADEN JAVA,2 bulan lalu,December 2024
"Kebersihan masih kurang, sampah berserakan dimana2, terutama di dlm air, kurang nya penyediaan tempat sampah",Ozed Ozed,2 bulan lalu,December 2024
"Tempat rekreasi yang merakyat, selain harga tiket yang terjangkau harga makanan juga terjangkau,petugas nya juga fast respon",Wahyudi Utomo,2 bulan lalu,December 2024
Mantap dah bagus,ata kita,2 bulan lalu,December 2024
Pas akhir pekan rame,Mas Ruchin,2 bulan lalu,December 2024
"sangat ramah, murah rekomendasi",wahyu mulyo wibowo,2 bulan lalu,December 2024
Jelek bgt gaada tempat duduk gabisa duduk dimana2,Isma annisaNA,2 bulan lalu,December 2024
"Bagus, sejuk dan nyaman untuk keluarga....",Titik Ertiani,2 bulan lalu,December 2024
"Tempat cukup nyaman, bisa berenang , ada gazebu untuk istirahat tapi bergantian dengan pengunjung lain",DiMez Sukun,2 bulan lalu,December 2024
oke sip yes 👍 …,Agus Suryadi,2 bulan lalu,December 2024
"Seru, sayang pas kesitu kurang prepare buat renang, jadi ya... cuma jalan jalan saja...",Nur Rohmat Alfiansyah,3 bulan lalu,November 2024
"Kereta sawahnya mantab, tp di kolam renang utamanya ada yang dalam dan sepertinya gak ada team penyelamatnya...",Firmansyah Ridwan,3 bulan lalu,November 2024
Agak sedikit kotor,Yahya Muhaimin,3 bulan lalu,November 2024
Sumber air alami,Maju Mapan,3 bulan lalu,November 2024
Tempatnya bagus dan asri.......rekomendasi untuk wisata keluarga,Mediefonte Music,3 bulan lalu,November 2024
