slang,kata_baku
ad,ada
adaakses,ada akses
adatempat,ada tempat
adem,dingin
ademalami,sejuk alami
ademmm,dingin
ae,
aernya,airnya
agk,agak
airada,air ada
airbening,air bening
airdi,air
airmasak,air masak
airnyaa,airnya
airnyaaaa,airnya
airnyapemandangan,airnya pemandangan
airsumber,air sumber
airtempat,air tempat
aja,saja
ajaa,saja
alamiah,alami
alamiair,alami air
alamibersih,alami bersih
alamilumayan,alami lumayan
alamisegar,alami segar
alamy,alami
alamiygpentingdlestarikandjaganikmatibuat,alami yang penting dilestarikan dijaga nikmati buat
alatalat,alat alat
alhamdulillah,
allaah,
allah,
ambili,ambil
ambill,ambil
an,
anakanak,anak anak
anakpermandian,anak pemandian
anaktiket,anak tiket
antriinya,antrinya
anya,
apaapa,apa apa
apik,bagus
aq,aku
asek,seru
asik,seru
asikk,seru
aslisuip,asli mantap
asricocok,asri cocok
asridan,asri dan
asridngan,asri dengan
asrii,asri
asrisejukmurah,asri sejuk murah
asrirekomendasi,asri rekomendasi
asyik,seru
asyikmasak,seru masak
ato,atau
aumber,sumber
ayem,tentram
awan,siang
az,
bab,buang air besar
bagis,bagus
bagusakses,bagus akses
bagusdan,bagus dan
bagusfasilitas,bagus fasilitas
bagushal,bagus hal
baguslumayanhanya,bagus lumayan hanya
bagusmakanannya,bagus makanannya
bagustiketnya,bagus tiketnya
baguss,bagus
bagussarana,bagus sarana
bagussss,bagus
bagussssss,bagus
baguus,bagus
baguuss,bagus
baguuuss,bagus
bak,ban
balik,kembali
bangaun,bangun
banget,sangat
bangetcuman,sangat cuma
bangett,sangat
bangettapi,sangat tapi
bangettt,sangat
bangetttt,sangat
bangetperlu,sangat perlu
banyakk,banyak
banyan,banyak
bar,setelah
barangdi,barang
barange,barang
baranguntuk,barang untuk
barukereta,baru kereta
batuairnya,batu airnya
batubatuan,batu batuan
batukarang,batu karang
bawahbawah,bawah bawah
bayarbtw,bayar
begtu,begitu
beming,bening
benarbenar,benar benar
beningmantappp,bening mantap
bener,benar
benerbener,benar benar
berbasahbasahan,berbasah basahan
berenangairnya,berenang airnya
berenanganak,berenang anak
berenangbsepuasx,berenang sepuasnya
berenangtiket,berenang tiket
berendampemandangan,berendam pemandangan
berhatihati,berhati hati
bersenangsenang,bersenang senang
bersihmakanan,bersih makanan
bersihpengelolaan,bersih pengelolaan
bersihsuwejukksuwegerrr,bersih sejuk segar
bersndam,berendam
besarbisa,besar bisa
bgs,bagus
bgt,sangat
bgtmakan,sangat makan
bgus,bagus
bingit,sangat
bingitspara,sangat para
bkin,membuat
blkg,belakang
blm,belum
blom,belum
bnget,banget
bngt,banget
bnyak,banyak
bnyk,banyak
bocil,anak kecil
bokeh,boleh
bontotan,makanan
brenang,berenang
brngkat,berangkat
brngktnya,berangkatnya
brp,beberapa
bs,bisa
buat,untuk
bukanya,bukannya
buruan,cepat
butek,keruh
buweniiing,bening
bwa,bawa
byk,banyak
bykharga,banyak harga
byr,bayar
byurrrr,
caak,
cantikkk,cantik
cavekk,capek
cetek,dangkal
cikopi,kopi
cirikhas,ciri khas
citimewa,istimewa
ckp,cukup
cm,cuma
cmn,hanya
colokan,stop kontak
csntik,cantik
cuman,cuma
cumn,cuman
cuyyyy,
cuzzzzzzz,ayo
ctatan,catatan
dah,
daru,dari
datengnya,datangnya
daundaun,daun daun
debest,the best
dech,
dedaunantempat,dedaunan tempat
deh,
dewasasumber,dewasa sumber
dg,dengan
dgn,dengan
di,
dii,
dijangkauberada,dijangkau berada
dikantongpokoknya,dikantong intinya
dilautdikelilingi,dilaut dikelilingi
dilihhat,dilihat
dingiiiiiin,dingin
diriair,diri air
ditmbah,ditambah
diwarungx,diwarungnya
dll,dan lain lain
dlm,dalam
dlu,dulu
dn,dan
dong,
dr,dari
dri,dari
drpd,daripada
dsamping,disamping
dsb,dan sebagainya
dsana,disana
dstu,disitu
dtg,datang
dtng,datang
du,
dudukato,duduk atau
dudukjadi,duduk jadi
dudukmasalah,duduk masalah
dulutapi,dulu tapi
duper,sangat
dwngan,dengan
enakk,enak
endues,bagus
fasum,fasilitas sumber
flyingfox,flying fox
ful,full
fzapr,
g,tidak
ga,tidak
gaada,tidak ada
gabisa,tidak bisa
gaes,
gaess,
gais,
gaiss,
gak,tidak
gakbisa,tidak bisa
gantiwkwkwkwk,ganti
gaperlu,tidak perlu
garagara,gara gara
gasebo,gazebo
gasebocm,gazebo cuma
gasuka,tidak suka
gay,
gazebu,gazebo
gemericik,gemercik
gengs,
ginian,seperti ini
gitu,begitu
gituu,gitu
gk,tidak
gmaps,google maps
gokill,gokil
gondanglegikolam,gondanglegi kolam
googlemaps,google maps
gowes,bersepeda
gpp,tidak apa apa
gratisbyr,gratis bayar
gratistoilet,gratis toilet
guantengg,ganteng
guys,
guyss,
